"BAN_1","BAN","CAPITAL","city","agree","attendevent","EX14","IM14","EX15","IM15","設立日期","行業代號","名稱","行業代號_1","名稱_1","行業代號_2","名稱_2","行業代號_3","名稱_3"
11013946,"970A139F1B",490500000,2,FALSE,6,230,18,202,25,610101,465311,"汽車零件、汽車百貨批發",303099,"其他汽車零件製造",303099,"其他汽車零件製造",NA,NA
11015682,"39ED395025",7e+07,2,FALSE,2,74,58,95,48,870122,291900,"其他金屬加工用機械設備製造",303099,"其他汽車零件製造",464999,"未分類其他機械器具批發",NA,NA
11022142,"EBBBD8307B",3e+07,3,FALSE,0,100,2,103,8,610701,242211,"鋁合金鑄造",249999,"其他未分類基本金屬製造",251299,"其他金屬模具製造",NA,NA
11026506,"11FDE57F02",0,3,TRUE,161,726,2185,633,1885,671201,521000,"報關服務",283100,"電線及電纜製造",140200,"合板及組合木材製造","140400","木質容器製造"
11038101,"3A88B135A3",0,3,FALSE,3,248,66,0,21,480101,151299,"其他紙張製造",NA,NA,NA,NA,NA,NA
11039306,"ED912AA6AF",0,3,FALSE,62,1003,593,1024,583,671001,456111,"家電材料批發",439099,"未分類其他專門營造",524100,"停車場管理",NA,NA
11051504,"B8B13EEFB3",790300000,3,FALSE,8,205,180,183,127,671001,462299,"其他化學製品批發",192011,"塗料製造",NA,NA,NA,NA
11081681,"6AFD9719FD",0,3,FALSE,7,129,201,105,193,580501,293511,"電梯（升降機）、電扶梯製造",433113,"電梯、電扶梯、升降機工程",NA,NA,NA,NA
11083034,"EC302B0373",2.5e+08,2,FALSE,4,4,232,12,181,580401,465311,"汽車零件、汽車百貨批發",471999,"未分類其他綜合商品零售",NA,NA,NA,NA
11083148,"A3609D0023",1319276000,2,FALSE,4,489,222,379,140,661201,462299,"其他化學製品批發",NA,NA,NA,NA,NA,NA
11085292,"1923FBB1D1",0,2,TRUE,11,10316,593,8037,559,610801,456113,"家電（視聽設備除外）批發",451099,"其他商品經紀",269913,"電子管製造","264111","液晶面板製造"
11092765,"D32FDC9BB2",392040000,2,FALSE,0,13,2,9,1,530428,112999,"未分類其他織布製造",NA,NA,NA,NA,NA,NA
11099726,"9E3C480013",5e+08,2,FALSE,10,131,25,177,26,610526,313200,"自行車零件製造",458211,"自行車及自行車零件批發",312200,"機車零件製造","239111","砂布、砂紙製造"
11104755,"3134FB27C4",868892200,1,FALSE,20,100,84,64,87,590904,259200,"金屬彈簧製造",303099,"其他汽車零件製造",275199,"其他量測、導航及控制設備製造","820912","文件打字、撰稿及速記等服務"
11113403,"52143A7F91",9.2e+08,3,FALSE,2,0,17,0,19,560501,453999,"未分類其他農產原料批發",462199,"其他化學原料批發",681112,"不動產租賃",NA,NA
11121403,"CB0F14222D",0,3,FALSE,3,73,101,49,87,530101,192011,"塗料製造",461411,"塗料批發",NA,NA,NA,NA
11132909,"3CA3762CB2",192780000,3,FALSE,4,217,69,235,66,670801,262000,"被動電子元件製造",NA,NA,NA,NA,NA,NA
11166702,"DBD16C423A",0,3,FALSE,3,19,149,13,130,671001,293599,"其他輸送機械設備製造",422012,"污水處理廠營建",293511,"電梯（升降機）、電扶梯製造","681112","不動產租賃"
11167300,"172B07434E",9.84e+08,3,FALSE,3,45,128,37,131,540901,252100,"金屬結構製造",NA,NA,NA,NA,NA,NA
11298247,"94855F015D",1310567700,3,FALSE,3,17,17,12,16,671201,283100,"電線及電纜製造",283299,"其他配線器材製造",NA,NA,NA,NA
11311608,"80FDBB0DC9",1.75e+09,3,FALSE,4,155,186,122,185,671101,112114,"毛梭織布製造",530100,"普通倉儲經營",NA,NA,NA,NA
11332202,"6E44715631",0,3,TRUE,58,2098,1143,1621,1081,670901,456199,"其他家庭電器批發",220300,"工業用塑膠製品製造",285111,"家用冷氣機製造","451099","其他商品經紀"
11332202,"6E44715631",0,3,TRUE,58,2098,1143,1621,1081,670901,456199,"其他家庭電器批發",220300,"工業用塑膠製品製造",285111,"家用冷氣機製造","451099","其他商品經紀"
11350411,"B1E2B0F00C",7.2e+07,2,FALSE,3,3,32,4,28,590701,269999,"其他未分類電子零組件製造",293312,"泵（幫浦）製造",451099,"其他商品經紀",NA,NA
11381701,"4B11BECEAB",1058295560,1,FALSE,4,52,305,161,396,620901,340013,"航空器維修",NA,NA,NA,NA,NA,NA
11384708,"EF63238C7A",0,3,FALSE,8,10176,5599,8160,4194,570101,181099,"其他基本化學材料製造",461915,"塑膠、橡膠建材製品批發",NA,NA,NA,NA
11384806,"E59BDAA5FF",0,3,FALSE,10,8190,5267,7041,4140,550601,462299,"其他化學製品批發",87000,"動物飼料配製",181099,"其他基本化學材料製造",NA,NA
11455272,"3327B3A6B5",495730000,2,FALSE,7,186,119,167,89,571205,303099,"其他汽車零件製造",451099,"其他商品經紀",312200,"機車零件製造",NA,NA
11455800,"A9B88571F8",852811980,3,FALSE,3,138,132,100,119,511014,451099,"其他商品經紀",113000,"不織布製造",NA,NA,NA,NA
11459242,"D605E4A710",6e+08,3,FALSE,6,164,15,192,8,671001,465311,"汽車零件、汽車百貨批發",461516,"建材五金（基本金屬）批發",NA,NA,NA,NA
11491382,"F58B4C3B6D",7e+08,2,FALSE,1,4,48,0,31,610301,281011,"電力變壓器製造",289099,"未分類其他電力設備製造",NA,NA,NA,NA
11492208,"9DAB49FCE4",1.38e+08,3,FALSE,0,13,88,12,93,490501,192011,"塗料製造",NA,NA,NA,NA,NA,NA
11520909,"7E77A80E8A",0,2,TRUE,19,1460,707,1455,735,671001,210100,"輪胎製造",NA,NA,NA,NA,NA,NA
11529802,"BD9FA5582C",0,3,FALSE,17,187,229,183,188,670701,241311,"鋼板（捲）、鋼帶、鋼片製造",431016,"鋼構工程",NA,NA,NA,NA
